Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Engendro Del Pantano;Isco;Writting Y Carácter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/07_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Jaboque;Eikova;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/04_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Los Astros Anuncian - Vida Y Cosmovisión;Sml;Muralismo;Vinilo;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/31_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
Trazos De La 13;Pekate;Writing;Aerosol;Carrera 13 - Punto 3;Carrera 13 No. 20 -18;https://idartesencasa.gov.co/sites/default/files/2023-10/05_KRA13_P3_CATALOGO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Criemcity;Roto;Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/7_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Eterno;Rope;Writing / Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 6;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/02_CLL26_P6_ENTREGA_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Madre Pacha Y Madre Agua, Traje De Batalla, Primavera Verano;Esneider Gamboa;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Rocker;Street Habits;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Memoria;;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/21_CLL26_P1_C_MEMORIA_CRISTIAN_PAEZ_DAVID_PATARROYO.jpg;;
Poder_Femenino;Woe;Ilustración;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/25_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
